row_index,disease_cohort,source_file,entity1,entity2,Relation,PMID,reason,entity2_status,entity1_status
448,NPC,20260508-NMP_final.csv,accumulation of cholesterol,liver,pathology_anatomy_present,40663813,unsupported_relation:pathology_anatomy_present,,
449,NPC,20260508-NMP_final.csv,accumulation of cholesterol,spleen,pathology_anatomy_present,40663813,unsupported_relation:pathology_anatomy_present,,
450,NPC,20260508-NMP_final.csv,accumulation of cholesterol,central nervous system,pathology_anatomy_present,40663813,unsupported_relation:pathology_anatomy_present,,
452,NPC,20260508-NMP_final.csv,disease severity,NPC1,phenotype_protein,38131230,unresolved_entity1,,C3494263
457,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,neurological symptoms,disease_phenotype_positive,36243834,unresolved_entity2,C0235031,
458,NPC,20260508-NMP_final.csv,miglustat,Niemann-Pick Disease Type C,indication,36243834,duplicate_literature_row,,
459,NPC,20260508-NMP_final.csv,miglustat,course of the disease,drug_effect,36243834,unresolved_entity2,C1820861,
460,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,neurological manifestations,disease_phenotype_positive,36243834,unresolved_entity2,C0027854,
461,NPC,20260508-NMP_final.csv,neurodegenerative disorder,Niemann-Pick disease type C,disease_disease,37429811,duplicate_literature_row,,
464,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,neurological delay,disease_phenotype_positive,37429811,unresolved_entity2,C4062897,
465,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,vertical supranuclear gaze palsy,disease_phenotype_positive,37429811,duplicate_literature_row,,
472,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,cerebellar ataxia,disease_phenotype_positive,40221338,duplicate_literature_row,,
474,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,dysarthria,disease_phenotype_positive,40221338,duplicate_literature_row,,
476,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,dystonia,disease_phenotype_positive,40221338,duplicate_literature_row,,
479,NPC,20260508-NMP_final.csv,Miglustat,Niemann-Pick disease type C,indication,40221338,duplicate_literature_row,,
481,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,Lysosomal storage diseases,disease_disease,36356931,duplicate_literature_row,,
482,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC1,disease_protein,36356931,duplicate_literature_row,,
483,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC2,disease_protein,36356931,duplicate_literature_row,,
484,NPC,20260508-NMP_final.csv,2-hydroxypropyl-b-cyclodextrin,Niemann-Pick disease type C,indication,36356931,duplicate_literature_row,,
485,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,Seizures,disease_phenotype_positive,36356931,duplicate_literature_row,,
493,NPC,20260508-NMP_final.csv,Miglustat,Neurological symptoms,drug_effect,38448301,unresolved_entity2,C0235031,
494,NPC,20260508-NMP_final.csv,Motor impairments,NPC1,phenotype_protein,39630885,duplicate_literature_row,,
495,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC1,disease_protein,40504793,duplicate_literature_row,,
496,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC2,disease_protein,40504793,duplicate_literature_row,,
503,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,neurological involvement,disease_protein,40504793,unresolved_entity2,C4283760,
505,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,Hepatosplenomegaly,disease_phenotype_positive,40504793,duplicate_literature_row,,
507,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,Vertical supranuclear gaze palsy,disease_phenotype_positive,40504793,duplicate_literature_row,,
508,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,Ataxia,disease_phenotype_positive,40504793,duplicate_literature_row,,
513,NPC,20260508-NMP_final.csv,psychiatric symptoms,NPC1,phenotype_protein,34420959,unresolved_entity1,,C0233401
514,NPC,20260508-NMP_final.csv,psychiatric symptoms,NPC2,phenotype_protein,34420959,unresolved_entity1,,C0233401
520,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,NPC1,disease_protein,36182715,duplicate_literature_row,,
521,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,NPC2,disease_protein,36182715,duplicate_literature_row,,
523,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,hepatosplenomegaly,disease_phenotype_positive,36182715,duplicate_literature_row,,
524,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,accumulation of unesterified cholesterol,disease_phenotype_positive,36182715,duplicate_literature_row,,
528,NPC,20260508-NMP_final.csv,2-hydroxypropyl-β-cyclodextrin,cholesterol metabolism,drug_bioprocess,36279795,unsupported_relation:drug_bioprocess,,
530,NPC,20260508-NMP_final.csv,2-hydroxypropyl-β-cyclodextrin,hearing loss,drug_effect,36279795,duplicate_literature_row,,
532,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC1,disease_protein,40026274,duplicate_literature_row,,
533,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,NPC2,disease_protein,40026274,duplicate_literature_row,,
535,NPC,20260508-NMP_final.csv,Niemann-Pick disease type C,Vertical supranuclear gaze palsy,disease_phenotype_positive,40026274,duplicate_literature_row,,
536,NPC,20260508-NMP_final.csv,lysosomal storage disorder,Niemann-Pick Disease Type C,disease_disease,34993563,duplicate_literature_row,,
537,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,NPC1,disease_protein,34993563,duplicate_literature_row,,
538,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,NPC2,disease_protein,34993563,duplicate_literature_row,,
542,NPC,20260508-NMP_final.csv,Niemann-Pick Disease Type C,ataxia,disease_phenotype_positive,34993563,duplicate_literature_row,,
