Unnamed: 0.1,Unnamed: 0,anchor_group_name,legacy_lookup_status,legacy_conflict_names,Expert review,anchor_group_idx,decision_auto,proposed_group_name_auto,cutoff,cluster_size,cluster_member_idx,cluster_member_name,reviewer_final_group_name,cui,member_name
63,1805,antigen defined by monoclonal antibody Aj9,missing,,no,20489.0,yes,antigen defined by monoclonal antibody Aj9,0.98,2.0,20489|20490,antigen defined by monoclonal antibody Aj9 || antigen defined by monoclonal antibody T87,,C1834757,antigen defined by monoclonal antibody Aj9
63,1805,antigen defined by monoclonal antibody Aj9,missing,,no,20489.0,yes,antigen defined by monoclonal antibody Aj9,0.98,2.0,20489|20490,antigen defined by monoclonal antibody Aj9 || antigen defined by monoclonal antibody T87,,C1834756,antigen defined by monoclonal antibody T87
64,1915,mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),missing,,no,22151.0,pending,name decided later,0.98,6.0,22151|22152|22541|22548|22560|23054,mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),,C2826037,mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2)
65,1915,mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),missing,,no,22151.0,pending,name decided later,0.98,6.0,22151|22152|22541|22548|22560|23054,mixed phenotype acute leukemia with t(v;11q23.3),,C2826048,mixed phenotype acute leukemia with t(v;11q23.3)
66,1915,mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),missing,,no,22151.0,pending,name decided later,0.98,6.0,22151|22152|22541|22548|22560|23054,"acute myeloid leukemia, t(10;11)(p11.2;q23)",,not found,"acute myeloid leukemia, t(10;11)(p11.2;q23)"
67,1915,mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),missing,,no,22151.0,pending,name decided later,0.98,6.0,22151|22152|22541|22548|22560|23054,"acute myeloid leukemia, t(11;19)(q23.3;p13.3)",,C5855195,"acute myeloid leukemia, t(11;19)(q23.3;p13.3)"
68,1915,mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),missing,,no,22151.0,pending,name decided later,0.98,6.0,22151|22152|22541|22548|22560|23054,"acute myeloid leukemia, t(9;22)(q34.1;q11.2)",,C4329268,"acute myeloid leukemia, t(9;22)(q34.1;q11.2)"
69,1915,mixed phenotype acute leukemia with t(9;22)(q34.1;q11.2),missing,,no,22151.0,pending,name decided later,0.98,6.0,22151|22152|22541|22548|22560|23054,"acute myeloid leukemia, t(8;21)(q22; q22.1)",,C2347540,"acute myeloid leukemia, t(8;21)(q22; q22.1)"
71,1936,"acute myeloid leukemia, inv(16)(p13.1;q22)",missing,,no,22536.0,pending,name decided later,0.98,4.0,22536|22537|22561|22568,"acute myeloid leukemia, inv(3)(q21.3;q26.2)",,C4053754,"acute myeloid leukemia, inv(3)(q21.3;q26.2)"
72,1936,"acute myeloid leukemia, inv(16)(p13.1;q22)",missing,,no,22536.0,pending,name decided later,0.98,4.0,22536|22537|22561|22568,"acute myeloid leukemia, inv(16)(p13.3;q24.3)",,not found,"acute myeloid leukemia, inv(16)(p13.3;q24.3)"
