node_id,node_type,node_name,node_source,group_name_auto,group_name_bert,group_id_bert,group_id_source
11842,disease,GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,MONDO,GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,,
11748,disease,Usher syndrome type 1G,MONDO,Usher syndrome,Usher syndrome,13788_13935_11748_14001_12662_32841_10170_700087_10169_11558_10171_29141_11195_11186_10984_19501_16484_16485_10168_12968,bert_join
7535,disease,"emphysema, hereditary pulmonary",MONDO,"emphysema, hereditary pulmonary","emphysema, hereditary pulmonary",,
100183,disease,"radioulnar synostosis, nonsyndromic, susceptibility to",MONDO,"radioulnar synostosis, nonsyndromic, susceptibility to","radioulnar synostosis, nonsyndromic, susceptibility to",,
8148,disease,osteogenesis imperfecta type 4,MONDO,osteogenesis imperfecta,osteogenesis imperfecta,14086_13924_13460_13459_12592_9804_14672_8148_49223_957988_9805_14544_30861_13515_12536_8146_14029_8147_12581_32846_12591_44329_19019,bert_join
10560,disease,"cleft palate with or without ankyloglossia, X-linked",MONDO,"cleft palate with or without ankyloglossia, X-linked","cleft palate with or without ankyloglossia, X-linked",,
7592,disease,familial recurrent peripheral facial palsy,MONDO,familial recurrent peripheral facial palsy,familial recurrent peripheral facial palsy,,
14612,disease,"pulmonary fibrosis and/or bone marrow failure, Telomere-related, 4",MONDO,"pulmonary fibrosis and/or bone marrow failure, telomere-related","pulmonary fibrosis and/or bone marrow failure, telomere-related",32865_14613_14612_13879_13878_30690_148,bert_join
33621,disease,"spinal muscular atrophy, infantile, James type",MONDO,"spinal muscular atrophy, infantile, James type","spinal muscular atrophy, infantile, James type",,
10899,disease,autosomal dominant nocturnal frontal lobe epilepsy 1,MONDO,autosomal dominant nocturnal frontal lobe epilepsy,autosomal dominant nocturnal frontal lobe epilepsy,12474_14002_11545_10899_11297_20300,legacy_exact_members
60577,disease,"neurodevelopmental disorder with microcephaly, ataxia, and seizures",MONDO,"neurodevelopmental disorder with microcephaly, ataxia, and seizures","neurodevelopmental disorder with microcephaly, ataxia, and seizures",,
12078,disease,Joubert syndrome 3,MONDO,Joubert syndrome,Joubert syndrome,9480_8944_13764_33308_12308_33309_13763_14288_30462_12432_30933_10431_12539_32570_12078_13824_13608_14928_14927_32902_13896_13745_12694_14770_14297_30353_12855_12849_13994_14771_11963_14724_33310_33311_14664_30454_16364_18342_18772_15369_800363_800372_800382_800383,bert_join
10489,disease,"intellectual disability, X-linked 101",MONDO,"intellectual disability, X-linked","intellectual disability, X-linked",10317_10660_10430_10256_10429_10324_10307_10500_30908_10326_10313_10497_10252_10450_10489_10352_10451_10329_49222_10231_10230_10300_10344_10393_10236_10488_30909_10250_10347_10251_10447_10452_10656_10413_10487_10453_10289_10454_10508_10361_30907_10509_10502_10510_10266_10363_10407_10506_10512_10322_100284_10309,bert_join
7160,disease,Stickler syndrome type 1,MONDO,Stickler syndrome,Stickler syndrome,11493_7160_31047_13590_13666_19354,bert_join
30538,disease,"dystonia 34, myoclonic",MONDO,dystonia,dystonia,15004_10983_44871_12712_14019_30486_30513_30538_13813_15003_12789_859215_14627_25691_30958_7495_7496_957385_14033_957542_30455_13928_957539_24304_9142_100098,bert_join
7770,disease,hyperpigmentation of Fuldauer and Kuijpers,MONDO,hyperpigmentation of Fuldauer and Kuijpers,hyperpigmentation of Fuldauer and Kuijpers,,
12914,disease,chromosome 1q21.1 deletion syndrome,MONDO,chromosome 1q21.1 deletion syndrome,chromosome 1q21.1 deletion syndrome,,
13622,disease,platelet-type bleeding disorder 9,MONDO,platelet-type bleeding disorder,platelet-type bleeding disorder,8553_14078_32765_54577_11588_13622_14386_8552_13623_14518_12031_30996_14830_12354_957580_13597,bert_join
19784,disease,12q14 microdeletion syndrome,MONDO,12q14 microdeletion syndrome,12q14 microdeletion syndrome,,
10157,disease,Tryptophanuria with dwarfism,MONDO,Tryptophanuria with dwarfism,palmoplantar keratoderma,850514_10157_9585_100309_1294,bert_join
7860,disease,focal palmoplantar and gingival keratoderma,MONDO,focal palmoplantar and gingival keratoderma,focal palmoplantar and gingival keratoderma,,
9135,disease,"anemia, congenital dyserythropoietic, type 1a",MONDO,congenital dyserythropoietic anemia type,congenital dyserythropoietic anemia type,14285_9134_7109_9135_13355_19403_20337,legacy_exact_members
33630,disease,neurodevelopmental disorder with speech impairment and dysmorphic facies,MONDO,neurodevelopmental disorder with speech impairment and dysmorphic facies,neurodevelopmental disorder with speech impairment and dysmorphic facies,,
100165,disease,permanent neonatal diabetes mellitus 1,MONDO,"diabetes mellitus, permanent neonatal","diabetes mellitus, permanent neonatal",100164_30088_30087_100165_30089,bert_join
10244,disease,CGF1,MONDO,CGF1,CGF1,,
32692,disease,Galloway-Mowat syndrome 7,MONDO,Galloway-Mowat syndrome,Galloway-Mowat syndrome,30476_32692_32693_33008_33009_33006_33007_32691_30471_33005_9627,bert_join
24456,disease,anterior segment dysgenesis 3,MONDO,anterior segment dysgenesis,anterior segment dysgenesis,15017_10015_15016_7138_7662_24456_19503,legacy_exact_members
9656,disease,mucopolysaccharidosis type 3B,MONDO,mucopolysaccharidosis,mucopolysaccharidosis,9658_11093_9662_9656_9657_9661_30524_9659_9655_10674_9660_18937_18938_1586_19249_16315_16316_17171_17172,bert_join
6292,disease,malignant mesothelioma,MONDO,malignant mesothelioma,malignant mesothelioma,,
100105,disease,brain small vessel disease 3,MONDO,brain small vessel disease,brain small vessel disease,100105_8289,bert_join
14888,disease,MIRAGE syndrome,MONDO,MIRAGE syndrome,MIRAGE syndrome,,
10675,disease,"muscular dystrophy, cardiac type",MONDO,"muscular dystrophy, cardiac type","muscular dystrophy, cardiac type",,
13190,disease,"factor XIII, b subunit, deficiency of",MONDO,"factor XIII, b subunit, deficiency","factor XIII, b subunit, deficiency",13187_13190,legacy_exact_members
8704,disease,short-limb skeletal dysplasia with severe combined immunodeficiency,MONDO,short-limb skeletal dysplasia with severe combined immunodeficiency,short-limb skeletal dysplasia with severe combined immunodeficiency,,
14054,disease,lymphoproliferative syndrome 2,MONDO,lymphoproliferative syndrome,lymphoproliferative syndrome,13081_14054_16537,legacy_exact_members
