entity_name,entity_type,accepted_in_second_search,suggested_name,observed_statuses
oxidative stress-mediated cell death,phenotype,no,,
pac-modified cholesterol,lipid,no,,
pac-sphingosine,lipid,no,,
pathological accumulation of cholesterol,phenotype,no,,
pathological changes in kidneys,phenotype,no,,
pathways of liver damage,pathway,no,,
patien-dependent manner,phenotype,yes,Age-dependent penetrance,C1835978
peripheral organ dysfunction,phenotype,no,,
peroxisome proliferator-activated receptor-γ,protein/gene,no,,
phagocytic stress,phenotype,no,,
phenotypic scoring metrics,phenotype,no,,
photo-activatable and clickable-phospholipids,lipid,no,,
physiological bis(monoacylglycero)phosphate hydrolase,molecular_function,no,,
plasma phosphorylated-tau217,protein/gene,no,,
poly-β-cyclodextrin,drug,no,,
poly-β-cyclodextrin-benzimidazole supramolecular nanoassembly,drug,no,,
post-lysosomal/late endosomal transport,biological_process,no,,
posterior cerebellar regions,anatomy,no,,
postsynaptic glutamate receptor signaling,biological_process,no,,
premature degradation,phenotype,no,,
preservation of executive control,phenotype,no,,
preservation of learning,phenotype,yes,learning,C0023185
preserves cellular function,phenotype,no,,
prevents cell death,phenotype,no,,
primary endothelial cells,anatomy,no,,
primary rat brain endothelial cells,anatomy,no,,
pro-inflammatory environment,phenotype,no,,
prodrug form of 2-hydroxypropyl-beta-cyclodextrin,drug,no,,
production of heat shock response,phenotype,no,,
progressive lysosomal storage disorder,disease,no,,
progressive major organ failure,phenotype,no,,
progressive neurological degeneration,disease,no,,
progressive neurological impairment,phenotype,no,,
progressive neurovisceral manifestations,phenotype,no,,
projection of cholesterol-containing membrane tubules,biological_process,no,,
prolong survival,phenotype,yes,Preimplantation lethality,C5139371
pronouced neurological manifestations,phenotype,no,,
protein trafficking defects,phenotype,no,,
proteostasis modulators,drug,no,,
proteostatic regulators,drug,no,,
prothoracic gland,anatomy,no,,
psychiatric alterations,phenotype,no,,
psychiatric anomalies,phenotype,no,,
rapid progression of neurologic disease,phenotype,yes,Progressive neurologic deterioration,C1854838
rare lysosomal neurovisceral storage disease,disease,yes,lysosomal storage disease,C0085078
rare lysosomal storage disorder,disease,no,,
rare neurovisceral lipid storage disease,disease,yes,neutral lipid storage disease,C5848057
re-accumulation of cholesterol,phenotype,no,,
reactive microglia,phenotype,no,,
recessive disorder of cholesterol trafficking,phenotype,no,,
recessive lysosomal storage disease,phenotype,no,,
recused mitochondrial deficits,phenotype,no,,
reduce cell apoptosis,phenotype,no,,
reduce gastrointestinal symptoms,phenotype,no,,
reduce intestinal inflammation,phenotype,no,,
reduced asparagine-linked glycosylation,phenotype,no,,
reduced ataxia,phenotype,no,,
reduced cancer growth,phenotype,no,,
reduced cholesterol accumulation,phenotype,no,,
reduced cytokine production,phenotype,no,,
reduced de novo sphingolipid biosynthesis,phenotype,no,,
reduced fifilipin flfluorescence,phenotype,no,,
reduced foamy cells,phenotype,no,,
reduced glycosphingolipid levels,phenotype,no,,
reduced lifespan,phenotype,no,,
reduced lysosomal cholesterol accumulation,phenotype,no,,
reduced lysosomal transport,phenotype,no,,
reduced mitochondrial transport,phenotype,no,,
reduced neocortical inflammation,phenotype,no,,
reduced peripheral inflammation,phenotype,no,,
reduced sphingolipid accumulation,phenotype,no,,
reduced thalamic volumes,phenotype,yes,Decreased thalamic volume,C4022771
reduces intracellular cholesterol accumulation,phenotype,no,,
reduction in complex asparagine-linked glycosylation,phenotype,no,,
reduction in lysosomal calcium,phenotype,no,,
regulated lysosomal function,biological_process,no,,
relatively intact smooth pursuit eye movements,phenotype,no,,
release of lipid-laden lamellar inclusions,biological_process,no,,
remove cholesterol,phenotype,no,,
remove lysosomal cholesterol crystals,phenotype,no,,
remove lysosomes cholesterol crystal,phenotype,no,,
renal lamellar bodies,phenotype,no,,
renal volume and weight,phenotype,no,,
replenishment of mitochondrial glutathione levels,phenotype,no,,
rescued all phenotypic changes,biological_process,no,,
