,entity_name,original_entity_types,PMID,relation,entity_side
654,enlarged extracellular vesicles,anatomy,34720883,anatomy_protein_present,1
656,enlarged soma size,phenotype,36322609,phenotype_protein,2
657,enriched cav1.2,,,,
658,enriched ryr,,,,
659,enriched serca,,,,
660,ensmusg00000004552,,,,
661,ensmusg00000018774,,,,
662,ensmusg00000022686,,,,
663,ensmusg00000024236,,,,
664,ensmusg00000024413,,,,
665,ensmusg00000024672,,,,
666,ensmusg00000027208,,,,
667,ensmusg00000027296,,,,
668,ensmusg00000028222,,,,
669,ensmusg0000002930,,,,
670,ensmusg00000035273,,,,
671,ensmusg00000038147,,,,
672,ensmusg00000040552,,,,
673,ensmusg00000041261,,,,
674,ensmusg00000041476,,,,
675,ensmusg00000050335,,,,
676,ensmusg00000054901,,,,
677,ensmusg00000069516,,,,
678,ensmusg00000071713,,,,
679,ensmusg00000079293,,,,
680,ensmust00000031975,,,,
681,ensmust00000126572,,,,
682,ensmust00000128338,,,,
683,ensmust00000131025,,,,
684,ensmust00000135230,,,,
685,ensmust00000136359,,,,
686,ensmust00000138576,,,,
687,ensmust00000139218,,,,
688,ensmust00000142962,,,,
689,ensmust00000148545,,,,
690,ensmust00000150330,,,,
691,ensmust00000152283,,,,
692,ensmust00000155729,,,,
693,ensmust00000166109,,,,
694,ensmust00000181447,,,,
695,ensmust00000195685,,,,
696,ensmust00000235045,,,,
697,ensmust00000238391,,,,
698,enzymatic function,phenotype,35016719,disease_phenotype_negative,2
699,enzyme acid sphingomyelinase deficiency,phenotype,38826605,disease_phenotype_positive,2
709,esterified mono- and dihydroxy lipid mediators,,,,
710,eukaryotic initiation factor 3d,,,,
711,evelated long-chain isoforms of glucosylceramide,phenotype,35833379,disease_phenotype_positive,2
712,exacerbated interferon signaling,phenotype,39202426,phenotype_protein,2
713,excessive accumulation of cholesterol,phenotype,35850050,disease_phenotype_positive,2
714,excessive cholesterol accumulation in the lysosome,phenotype,34748340,disease_phenotype_positive,2
715,excessive immune activation,phenotype,35360843,disease_phenotype_positive,2
718,export of cholesterol and sphingolipids,biological_process,37047194,bioprocess_disease,1
720,extends lifespan,phenotype,36920149,disease_phenotype_positive,2
721,extensive hypometabolism,pathology,40009086,pathology_anatomy_present,1
722,extraction of cholesterol,,,,
726,fatal neurodegenerative condition,phenotype,38254990,disease_phenotype_positive,2
727,fatal neurodegenerative disease,disease,40215728,disease_disease,1
728,fatal neurovisceral disorder,phenotype,37454976,disease_protein,2
729,faulty cholesterol trafficking,phenotype,40215728,disease_phenotype_positive,2
730,ferroptosis pathway,pathway,37958627,disease_pathway,2
732,fibroblast-to-myofibroblast differentiation,biological_process,36804125,bioprocess_protein|drug_bioprocess,1|2
735,filipin complex,,,,
740,fluctuation score,,,,
741,fluorescent b-d-araf aziridine probes,,,,
742,foam cell accumulation,phenotype,37454976,disease_phenotype_positive,2
744,formation of multi-laminar storage bodies,phenotype,34592985,phenotype_protein,1
746,founder french-canadian pathogenic variant,,,,
748,free pro-resolving fatty acid epoxides,molecular_function,40306479,pathway_molfunc,2
749,free sterols accumulation,phenotype,37683773,disease_phenotype_positive,2
750,friedreich’s ataxia,,,,
753,frontotemporal areas,anatomy,40009086,pathology_anatomy_present,2
754,full scale npccss,,,,
758,ganglioside gm1 storage,,,,
763,gba2 glucosylceramidase inhibition,,,,
764,gba2 inhibitors,,,,
765,gdnf and nrtn synthesis,,,,
766,gdnf rna expression,,,,
767,gelastic cataplexy,phenotype,40525490|40898442,disease_phenotype_positive,2
773,giant lysosomes,phenotype,36722045,disease_phenotype_positive,2
774,giant multilamellar bodies,phenotype,37683773,disease_phenotype_positive,2
