,entity_name,original_entity_types,search_term_used,umls_matched_name,matched_cui,matched_semantic_types,matched_semantic_type_names,PMID,relation,entity_side
545,depletion of adp-ribosylation factor-like gtpase 8,,depletion of adp-ribosylation factor-like gtpase 8,,,[],[],,,
546,depletion of bloc one-related complex,,depletion of bloc one-related complex,,,[],[],,,
547,depletion of regulatory t cells,,depletion of regulatory t cells,RO7296682,C5418045,"['T116', 'T121', 'T129']","['Amino Acid, Peptide, or Protein', 'Pharmacologic Substance', 'Immunologic Factor']",,,
548,depletion of stard9,,depletion of stard9,,,[],[],,,
549,depressive behavior,phenotype,depressive behavior,"Recurrent depressive disorder, current episode severe with psychotic symptoms",C0154413,['T048'],['Mental or Behavioral Dysfunction'],40869913,disease_phenotype_positive,2
550,deprotonation,exposure,deprotonation,deprotonation,C0599225,['T067'],['Phenomenon or Process'],38568972,exposure_protein,1
551,deregulation in the cortical circadian rhythm pathway,phenotype,deregulation in the cortical circadian rhythm pathway,,,[],[],40869913,disease_phenotype_positive,2
552,derived glioblastoma stem-like cells,,derived glioblastoma stem-like cells,,,[],[],,,
553,derived neural stem cells,phenotype,derived neural stem cells,DAGLA gene,C1412864,['T028'],['Gene or Genome'],34377675,disease_phenotype_positive,2
554,deuterium-labeled cholesterol-dextran,,deuterium-labeled cholesterol-dextran,,,[],[],,,
555,developmental delay,phenotype,developmental delay,Developmental delay,C0424605,['T048'],['Mental or Behavioral Dysfunction'],34455703|38826605|39697013|40003936,disease_phenotype_positive,2
556,developmental prosopagnosia,phenotype,developmental prosopagnosia,"Prosopagnosia, Developmental",C0751842,['T048'],['Mental or Behavioral Dysfunction'],38419734,disease_phenotype_positive,2
557,de‐ramified processes,phenotype,de‐ramified processes,,,[],[],36322609,phenotype_protein,2
558,diarrhea,phenotype,diarrhea,Diarrhea,C0011991,['T184'],['Sign or Symptom'],37429811|39697013,disease_phenotype_positive|drug_effect,2
559,diminished h3k27me3,,diminished h3k27me3,,,[],[],,,
560,dipeptidyl peptidase 7,,dipeptidyl peptidase 7,DPP7 gene,C1423031,['T028'],['Gene or Genome'],,,
561,disability,phenotype,disability,Disability,C0231170,['T033'],['Finding'],35850050,disease_phenotype_positive,2
562,disease amelioration,phenotype,disease amelioration,factor ameliorating disease,C0679240,['T169'],['Functional Concept'],38852794,drug_effect,2
563,disease progression,phenotype,disease progression,Disease Progression,C0242656,['T046'],['Pathologic Function'],34296265|38253667|39502943,pathway_phenotype|phenotype_protein,1|2
564,disease severity,phenotype | protein/gene,disease severity,Patient Acuity,C3494263,['T201'],['Clinical Attribute'],38131230|38673803|39688135,anatomy_protein_present|phenotype_protein,1|2
565,disease signs/symptoms,phenotype,disease signs/symptoms,Signs and symptoms of disease,C0517730,['T033'],['Finding'],36470574,phenotype_protein,2
566,disease-modifying drugs,drug,disease-modifying drugs,"Antirheumatic Drugs, Disease-Modifying",C0242708,['T121'],['Pharmacologic Substance'],40565243,indication,1
567,dissolve cholesterol crystals into free cholesterol,phenotype,dissolve cholesterol crystals into free cholesterol,,,[],[],34748340,drug_effect,2
568,dna damage,,dna damage,DNA Damage,C0012860,['T049'],['Cell or Molecular Dysfunction'],,,
569,dopamine neurons,anatomy,dopamine neurons,Dopaminergic Neurons,C1512035,['T025'],['Cell'],40737317,anatomy_protein_present,2
570,down regulation,biological_process,down regulation,Down-Regulation,C0013081,['T044'],['Molecular Function'],34410604,bioprocess_protein,1
571,downregulated fibrinogen,phenotype,downregulated fibrinogen,,,[],[],36638187,disease_protein,2
572,downregulated innate immune complement components,phenotype,downregulated innate immune complement components,,,[],[],36638187,disease_protein,2
573,drug resistant,phenotype,drug resistant,Drug Resistant Epilepsy,C1096063,['T047'],['Disease or Syndrome'],37740198,phenotype_phenotype,2
574,duration of illness,,duration of illness,Illness duration,C3176590,['T079'],['Temporal Concept'],,,
575,dysfunctional autophagy,pathology,dysfunctional autophagy,,,[],[],38821960,pathology_phenotype,1
576,dysfunctionality of the blood-cerebrospinal fluid barrier,,dysfunctionality of the blood-cerebrospinal fluid barrier,,,[],[],,,
577,dysmorphic features,phenotype,dysmorphic features,Dysmorphic features,C0432072,['T019'],['Congenital Abnormality'],38549495,phenotype_phenotype,2
578,dystonia presentations,phenotype,dystonia presentations,,,[],[],35853348,disease_phenotype_positive|phenotype_phenotype,2
579,dystonic movement disorders,,dystonic movement disorders,,,[],[],,,
580,eaat1,,eaat1,SLC1A3 gene,C1420121,['T028'],['Gene or Genome'],,,
581,earlier age of neurological onset,phenotype,earlier age of neurological onset,,,[],[],38673803,phenotype_protein,1
582,earlier npc1 disease onset,,earlier npc1 disease onset,,,[],[],,,
583,early cholestatic disease,disease,early cholestatic disease,,,[],[],34138521,disease_disease,2
584,early death,phenotype,early death,Early neonatal death,C1271991,['T033'],['Finding'],36719165|37407594|39207850,disease_phenotype_positive|phenotype_protein,2
585,early endosome antigen 1,,early endosome antigen 1,early endosome antigen 1,C0298073,"['T116', 'T192']","['Amino Acid, Peptide, or Protein', 'Receptor']",,,
586,early infantile onset,phenotype,early infantile onset,Neonatal/early-infantile onset encephalopathy,C1833430,['T033'],['Finding'],36243834|39789920,disease_phenotype_positive,1|2
587,early maturation,phenotype,early maturation,Early onset of sexual maturation,C4022392,['T033'],['Finding'],35245460,exposure_phenotype,2
588,early neurodegeneration,phenotype,early neurodegeneration,Neurodegeneration after normal early development,C4748528,['T033'],['Finding'],38033125,phenotype_protein,2
589,early neurodevelopmental disturbance,phenotype,early neurodevelopmental disturbance,,,[],[],37612148,disease_phenotype_positive,2
590,efferocytosis,biological_process,efferocytosis,Efferocytosis,C1523908,['T043'],['Cell Function'],39547438,bioprocess_protein,1
591,efflux,,efflux,export across plasma membrane,C4691060,['T043'],['Cell Function'],,,
592,egghead,protein/gene,egghead,"egh protein, Drosophila",C1430627,"['T116', 'T123']","['Amino Acid, Peptide, or Protein', 'Biologically Active Substance']",37815467,bioprocess_protein|molfunc_protein|phenotype_protein,1
593,egress of free cholesterol from lysosomes,biological_process,egress of free cholesterol from lysosomes,,,[],[],35653304,bioprocess_bioprocess,2
594,electroconvulsive therapy,exposure,electroconvulsive therapy,Electroconvulsive Therapy,C0013806,['T061'],['Therapeutic or Preventive Procedure'],34744838,exposure_disease|exposure_phenotype,1
595,elevated 5alpha,,elevated 5alpha,Elevated circulating C-triol concentration,C6055468,['T033'],['Finding'],36325261,disease_phenotype_positive,2
596,elevated 6beta-triol,,elevated 6beta-triol,Elevated circulating C-triol concentration,C6055468,['T033'],['Finding'],36325261,disease_phenotype_positive,2
597,elevated 7-ketocholesterol,anatomy,elevated 7-ketocholesterol,,,[],[],36325261,disease_phenotype_positive,2
598,elevated afp levels,,elevated afp levels,,,[],[],,,
599,elevated alpha-fetoprotein level,phenotype,elevated alpha-fetoprotein level,Serum alpha-fetoprotein level above reference range,C1275870,['T033'],['Finding'],35455589,disease_phenotype_positive|disease_protein,2
600,elevated bile acid,phenotype,elevated bile acid,Elevated urinary bile acid level,C5937437,['T033'],['Finding'],36719165,disease_phenotype_positive,2
601,elevated cholestane-3beta,,elevated cholestane-3beta,Elevated circulating C-triol concentration,C6055468,['T033'],['Finding'],36325261,disease_phenotype_positive,2
602,elevated cholesterol,phenotype,elevated cholesterol,Hypercholesterolemia,C0020443,['T047'],['Disease or Syndrome'],34085599,phenotype_cellcomp,1
603,elevated cholesterol on lysosome membranes,phenotype,elevated cholesterol on lysosome membranes,,,[],[],34085599,disease_phenotype_positive,2
604,elevated damage associated molecular patterns (damps),,elevated damage associated molecular patterns (damps),,,[],[],,,
605,elevated daytime sleepiness,,elevated daytime sleepiness,,,[],[],,,
606,elevated glutamatergic transmission,phenotype,elevated glutamatergic transmission,,,[],[],37815467,phenotype_protein,2
607,elevated immunoglobulins,phenotype,elevated immunoglobulins,"Elevated immunoglobulins, particularly IgE",C3550017,['T033'],['Finding'],35360843,phenotype_phenotype,1
608,elevated levels of free pro-resolving fatty acid epoxides,phenotype,elevated levels of free pro-resolving fatty acid epoxides,,,[],[],40306479,phenotype_protein,1
609,elevated levels of iron,phenotype,elevated levels of iron,,,[],[],40243519,disease_phenotype_positive,2
